,lat,lon
758,60.09,9.01
759,60.09,9.18
760,60.09,9.35
761,60.09,9.52
762,60.09,9.69
763,60.09,9.85
764,60.09,10.02
765,60.09,10.19
766,60.09,10.36
767,60.09,10.53
768,60.09,10.7
769,60.09,10.87
770,60.09,11.03
771,60.09,11.2
772,60.09,11.37
773,60.09,11.54
774,60.09,11.71
775,60.09,11.88
776,60.09,12.04
777,60.09,12.21
778,60.09,12.38
779,60.17,5.14
780,60.17,5.31
781,60.17,5.48
782,60.17,5.64
783,60.17,5.81
784,60.17,5.98
785,60.17,6.15
786,60.17,6.32
787,60.17,6.49
788,60.17,6.66
789,60.17,6.82
790,60.17,6.99
791,60.17,7.16
792,60.17,7.33
793,60.17,7.5
794,60.17,7.67
795,60.17,7.83
796,60.17,8.0
797,60.17,8.17
798,60.17,8.34
799,60.17,8.51
800,60.17,8.68
801,60.17,8.84
802,60.17,9.01
803,60.17,9.18
804,60.17,9.35
805,60.17,9.52
806,60.17,9.69
807,60.17,9.85
808,60.17,10.02
809,60.17,10.19
810,60.17,10.36
811,60.17,10.53
812,60.17,10.7
813,60.17,10.87
814,60.17,11.03
815,60.17,11.2
816,60.17,11.37
817,60.17,11.54
818,60.17,11.71
819,60.17,11.88
820,60.17,12.04
821,60.17,12.21
822,60.17,12.38
823,60.25,5.14
824,60.25,5.31
825,60.25,5.48
826,60.25,5.64
827,60.25,5.81
828,60.25,5.98
829,60.25,6.15
830,60.25,6.32
831,60.25,6.49
832,60.25,6.66
833,60.25,6.82
834,60.25,6.99
835,60.25,7.16
836,60.25,7.33
837,60.25,7.5
838,60.25,7.67
839,60.25,7.83
840,60.25,8.0
841,60.25,8.17
842,60.25,8.34
843,60.25,8.51
844,60.25,8.68
845,60.25,8.84
846,60.25,9.01
847,60.25,9.18
848,60.25,9.35
849,60.25,9.52
850,60.25,9.69
851,60.25,9.85
852,60.25,10.02
853,60.25,10.19
854,60.25,10.36
855,60.25,10.53
856,60.25,10.7
857,60.25,10.87
858,60.25,11.03
859,60.25,11.2
860,60.25,11.37
861,60.25,11.54
862,60.25,11.71
863,60.25,11.88
864,60.25,12.04
865,60.25,12.21
866,60.25,12.38
867,60.33,4.97
868,60.33,5.14
869,60.33,5.31
870,60.33,5.48
871,60.33,5.64
872,60.33,5.81
873,60.33,5.98
874,60.33,6.15
875,60.33,6.32
876,60.33,6.49
877,60.33,6.66
878,60.33,6.82
879,60.33,6.99
880,60.33,7.16
881,60.33,7.33
882,60.33,7.5
883,60.33,7.67
884,60.33,7.83
885,60.33,8.0
886,60.33,8.17
887,60.33,8.34
888,60.33,8.51
889,60.33,8.68
890,60.33,8.84
891,60.33,9.01
892,60.33,9.18
893,60.33,9.35
894,60.33,9.52
895,60.33,9.69
896,60.33,9.85
897,60.33,10.02
898,60.33,10.19
899,60.33,10.36
900,60.33,10.53
901,60.33,10.7
902,60.33,10.87
903,60.33,11.03
904,60.33,11.2
905,60.33,11.37
906,60.33,11.54
907,60.33,11.71
908,60.33,11.88
909,60.33,12.04
910,60.33,12.21
911,60.33,12.38
912,60.33,12.55
913,60.41,4.97
914,60.41,5.14
915,60.41,5.31
916,60.41,5.48
