lat,lon,country
58.59,5.91,Norway
58.59,6.0,Norway
58.59,6.08,Norway
58.59,6.17,Norway
58.59,6.25,Norway
58.59,6.34,Norway
58.59,6.42,Norway
58.59,6.51,Norway
58.59,6.59,Norway
58.59,6.68,Norway
58.59,6.76,Norway
58.59,6.85,Norway
58.59,6.93,Norway
58.59,7.02,Norway
58.59,7.1,Norway
58.59,7.19,Norway
58.59,7.27,Norway
58.59,7.36,Norway
58.59,7.44,Norway
58.59,7.53,Norway
58.59,7.61,Norway
58.59,7.7,Norway
58.59,7.78,Norway
58.59,7.87,Norway
58.59,7.95,Norway
58.59,8.04,Norway
58.59,8.12,Norway
58.59,8.21,Norway
58.59,8.29,Norway
58.59,8.38,Norway
58.59,8.46,Norway
58.59,8.55,Norway
58.59,8.63,Norway
58.59,8.72,Norway
58.59,8.8,Norway
58.59,8.89,Norway
58.59,8.97,Norway
58.59,9.06,Norway
58.63,5.57,Norway
58.63,5.66,Norway
58.63,5.74,Norway
58.63,5.83,Norway
58.63,5.91,Norway
58.63,6.0,Norway
58.63,6.08,Norway
58.63,6.17,Norway
58.63,6.25,Norway
58.63,6.34,Norway
58.63,6.42,Norway
58.63,6.51,Norway
58.63,6.59,Norway
58.63,6.68,Norway
58.63,6.76,Norway
58.63,6.85,Norway
58.63,6.93,Norway
58.63,7.02,Norway
58.63,7.1,Norway
58.63,7.19,Norway
58.63,7.27,Norway
58.63,7.36,Norway
58.63,7.44,Norway
58.63,7.53,Norway
58.63,7.61,Norway
58.63,7.7,Norway
58.63,7.78,Norway
58.63,7.87,Norway
58.63,7.95,Norway
58.63,8.04,Norway
58.63,8.12,Norway
58.63,8.21,Norway
58.63,8.29,Norway
58.63,8.38,Norway
58.63,8.46,Norway
58.63,8.55,Norway
58.63,8.63,Norway
58.63,8.72,Norway
58.63,8.8,Norway
58.63,8.89,Norway
58.63,8.97,Norway
58.63,9.06,Norway
58.63,9.14,Norway
58.67,5.57,Norway
58.67,5.66,Norway
58.67,5.74,Norway
58.67,5.83,Norway
58.67,5.91,Norway
58.67,6.0,Norway
58.67,6.08,Norway
58.67,6.17,Norway
58.67,6.25,Norway
58.67,6.34,Norway
58.67,6.42,Norway
58.67,6.51,Norway
58.67,6.59,Norway
58.67,6.68,Norway
58.67,6.76,Norway
58.67,6.85,Norway
58.67,6.93,Norway
58.67,7.02,Norway
58.67,7.1,Norway
58.67,7.19,Norway
58.67,7.27,Norway
58.67,7.36,Norway
58.67,7.44,Norway
58.67,7.53,Norway
58.67,7.61,Norway
58.67,7.7,Norway
58.67,7.78,Norway
58.67,7.87,Norway
58.67,7.95,Norway
58.67,8.04,Norway
58.67,8.12,Norway
58.67,8.21,Norway
58.67,8.29,Norway
58.67,8.38,Norway
58.67,8.46,Norway
58.67,8.55,Norway
58.67,8.63,Norway
58.67,8.72,Norway
58.67,8.8,Norway
58.67,8.89,Norway
58.67,8.97,Norway
58.67,9.06,Norway
58.67,9.14,Norway
58.71,5.49,Norway
58.71,5.57,Norway
58.71,5.66,Norway
58.71,5.74,Norway
58.71,5.83,Norway
58.71,5.91,Norway
58.71,6.0,Norway
58.71,6.08,Norway
58.71,6.17,Norway
58.71,6.25,Norway
58.71,6.34,Norway
58.71,6.42,Norway
58.71,6.51,Norway
58.71,6.59,Norway
58.71,6.68,Norway
58.71,6.76,Norway
58.71,6.85,Norway
58.71,6.93,Norway
58.71,7.02,Norway
58.71,7.1,Norway
58.71,7.19,Norway
58.71,7.27,Norway
58.71,7.36,Norway
58.71,7.44,Norway
58.71,7.53,Norway
58.71,7.61,Norway
58.71,7.7,Norway
58.71,7.78,Norway
58.71,7.87,Norway
58.71,7.95,Norway
58.71,8.04,Norway
58.71,8.12,Norway
58.71,8.21,Norway
58.71,8.29,Norway
58.71,8.38,Norway
58.71,8.46,Norway
58.71,8.55,Norway
58.71,8.63,Norway
58.71,8.72,Norway
58.71,8.8,Norway
58.71,8.89,Norway
58.71,8.97,Norway
58.71,9.06,Norway
58.71,9.14,Norway
58.71,9.23,Norway
58.75,5.49,Norway
58.75,5.57,Norway
58.75,5.66,Norway
58.75,5.74,Norway
58.75,5.83,Norway
58.75,5.91,Norway
58.75,6.0,Norway
58.75,6.08,Norway
58.75,6.17,Norway
58.75,6.25,Norway
58.75,6.34,Norway
58.75,6.42,Norway
58.75,6.51,Norway
58.75,6.59,Norway
58.75,6.68,Norway
58.75,6.76,Norway
58.75,6.85,Norway
58.75,6.93,Norway
58.75,7.02,Norway
58.75,7.1,Norway
58.75,7.19,Norway
58.75,7.27,Norway
58.75,7.36,Norway
58.75,7.44,Norway
58.75,7.53,Norway
58.75,7.61,Norway
58.75,7.7,Norway
58.75,7.78,Norway
58.75,7.87,Norway
58.75,7.95,Norway
58.75,8.04,Norway
58.75,8.12,Norway
58.75,8.21,Norway
58.75,8.29,Norway
58.75,8.38,Norway
58.75,8.46,Norway
58.75,8.55,Norway
58.75,8.63,Norway
58.75,8.72,Norway
58.75,8.8,Norway
58.75,8.89,Norway
58.75,8.97,Norway
58.75,9.06,Norway
58.75,9.14,Norway
58.75,9.23,Norway
58.75,9.31,Norway
58.79,5.49,Norway
58.79,5.57,Norway
58.79,5.66,Norway
58.79,5.74,Norway
58.79,5.83,Norway
58.79,5.91,Norway
58.79,6.0,Norway
58.79,6.08,Norway
58.79,6.17,Norway
58.79,6.25,Norway
58.79,6.34,Norway
58.79,6.42,Norway
58.79,6.51,Norway
58.79,6.59,Norway
58.79,6.68,Norway
58.79,6.76,Norway
58.79,6.85,Norway
58.79,6.93,Norway
58.79,7.02,Norway
58.79,7.1,Norway
58.79,7.19,Norway
58.79,7.27,Norway
58.79,7.36,Norway
58.79,7.44,Norway
58.79,7.53,Norway
58.79,7.61,Norway
58.79,7.7,Norway
58.79,7.78,Norway
58.79,7.87,Norway
58.79,7.95,Norway
58.79,8.04,Norway
58.79,8.12,Norway
58.79,8.21,Norway
58.79,8.29,Norway
58.79,8.38,Norway
58.79,8.46,Norway
58.79,8.55,Norway
58.79,8.63,Norway
58.79,8.72,Norway
58.79,8.8,Norway
58.79,8.89,Norway
58.79,8.97,Norway
58.79,9.06,Norway
58.79,9.14,Norway
58.79,9.23,Norway
58.79,9.31,Norway
58.79,9.4,Norway
58.83,5.57,Norway
58.83,5.66,Norway
58.83,5.74,Norway
58.83,5.83,Norway
58.83,5.91,Norway
58.83,6.0,Norway
58.83,6.08,Norway
58.83,6.17,Norway
58.83,6.25,Norway
58.83,6.34,Norway
58.83,6.42,Norway
58.83,6.51,Norway
58.83,6.59,Norway
58.83,6.68,Norway
58.83,6.76,Norway
58.83,6.85,Norway
58.83,6.93,Norway
58.83,7.02,Norway
58.83,7.1,Norway
58.83,7.19,Norway
58.83,7.27,Norway
58.83,7.36,Norway
58.83,7.44,Norway
58.83,7.53,Norway
58.83,7.61,Norway
58.83,7.7,Norway
58.83,7.78,Norway
58.83,7.87,Norway
58.83,7.95,Norway
58.83,8.04,Norway
58.83,8.12,Norway
58.83,8.21,Norway
58.83,8.29,Norway
58.83,8.38,Norway
58.83,8.46,Norway
58.83,8.55,Norway
58.83,8.63,Norway
58.83,8.72,Norway
58.83,8.8,Norway
58.83,8.89,Norway
58.83,8.97,Norway
58.83,9.06,Norway
58.83,9.14,Norway
58.83,9.23,Norway
58.83,9.31,Norway
58.83,9.4,Norway
58.83,9.48,Norway
58.88,5.57,Norway
58.88,5.66,Norway
58.88,5.74,Norway
58.88,5.83,Norway
58.88,5.91,Norway
58.88,6.0,Norway
58.88,6.08,Norway
58.88,6.17,Norway
58.88,6.25,Norway
58.88,6.34,Norway
58.88,6.42,Norway
58.88,6.51,Norway
58.88,6.59,Norway
58.88,6.68,Norway
58.88,6.76,Norway
58.88,6.85,Norway
58.88,6.93,Norway
58.88,7.02,Norway
58.88,7.1,Norway
58.88,7.19,Norway
58.88,7.27,Norway
58.88,7.36,Norway
58.88,7.44,Norway
58.88,7.53,Norway
58.88,7.61,Norway
58.88,7.7,Norway
58.88,7.78,Norway
58.88,7.87,Norway
58.88,7.95,Norway
58.88,8.04,Norway
58.88,8.12,Norway
58.88,8.21,Norway
58.88,8.29,Norway
58.88,8.38,Norway
58.88,8.46,Norway
58.88,8.55,Norway
58.88,8.63,Norway
58.88,8.72,Norway
58.88,8.8,Norway
58.88,8.89,Norway
58.88,8.97,Norway
58.88,9.06,Norway
58.88,9.14,Norway
58.88,9.23,Norway
58.88,9.31,Norway
58.88,9.4,Norway
58.88,9.48,Norway
58.88,9.57,Norway
58.88,11.52,Norway
58.92,5.57,Norway
58.92,5.66,Norway
58.92,5.74,Norway
58.92,5.83,Norway
58.92,5.91,Norway
58.92,6.0,Norway
58.92,6.08,Norway
58.92,6.17,Norway
58.92,6.25,Norway
58.92,6.34,Norway
58.92,6.42,Norway
58.92,6.51,Norway
58.92,6.59,Norway
