,latitude,longitude,date,time,symbol,temperature,wind,weatherRank,maxRank
42,59.30210775416694,9.320179009521784,2022-11-05,13:00:00,fair_day,8.7,1.4,0.8667652515060367,0.8693213574077828
41,59.30210775416694,9.320179009521784,2022-11-05,12:00:00,fair_day,8.6,1.4,0.8660760744611622,0.8693213574077828
31,59.30210775416694,9.320179009521784,2022-11-05,02:00:00,fair_night,8.9,3.1,0.86521603851237,0.8693213574077828
40,59.30210775416694,9.320179009521784,2022-11-05,11:00:00,fair_day,7.8,1.1,0.8609319949144684,0.8693213574077828
44,59.30210775416694,9.320179009521784,2022-11-05,15:00:00,fair_night,7.7,1.5,0.859932028393729,0.8693213574077828
32,59.30210775416694,9.320179009521784,2022-11-05,03:00:00,clearsky_day,7.6,3.0,0.8589157733514912,0.8693213574077828
39,59.30210775416694,9.320179009521784,2022-11-05,10:00:00,fair_day,6.7,0.6,0.8542039947252011,0.8693213574077828
33,59.30210775416694,9.320179009521784,2022-11-05,04:00:00,clearsky_day,6.0,1.3,0.851685630040358,0.8693213574077828
38,59.30210775416694,9.320179009521784,2022-11-05,09:00:00,fair_day,5.4,0.8,0.8463566748066595,0.8693213574077828
45,59.30210775416694,9.320179009521784,2022-11-05,16:00:00,partlycloudy_night,6.2,1.7,0.8463206268404904,0.8693213574077828
34,59.30210775416694,9.320179009521784,2022-11-05,05:00:00,clearsky_day,4.8,2.0,0.8440819731153593,0.8693213574077828
46,59.30210775416694,9.320179009521784,2022-11-05,17:00:00,partlycloudy_night,5.0,1.7,0.8393896210144303,0.8693213574077828
35,59.30210775416694,9.320179009521784,2022-11-05,06:00:00,fair_day,3.9,1.8,0.8373842911501006,0.8693213574077828
37,59.30210775416694,9.320179009521784,2022-11-05,08:00:00,fair_day,3.7,1.2,0.8369618927345143,0.8693213574077828
47,59.30210775416694,9.320179009521784,2022-11-05,18:00:00,partlycloudy_night,4.2,1.4,0.8353873166368347,0.8693213574077828
36,59.30210775416694,9.320179009521784,2022-11-05,07:00:00,fair_day,3.4,1.9,0.8347565475883908,0.8693213574077828
42,60.021565038901926,10.053641933810892,2022-11-05,13:00:00,fair_day,8.6,0.5,0.8666872756439521,0.8666872756439521
43,60.021565038901926,10.053641933810892,2022-11-05,14:00:00,fair_night,8.4,0.6,0.8652682896685837,0.8666872756439521
41,60.021565038901926,10.053641933810892,2022-11-05,12:00:00,fair_day,8.2,1.2,0.8635233713103457,0.8666872756439521
40,60.021565038901926,10.053641933810892,2022-11-05,11:00:00,fair_day,8.0,0.6,0.8625724195757223,0.8666872756439521
39,60.021565038901926,10.053641933810892,2022-11-05,10:00:00,fair_day,7.6,1.2,0.8595422715475708,0.8666872756439521
